date,Tahvil
2002-09-09,1.4164392021722743
2002-09-10,1.4194290624772876
2002-09-11,1.4224217545795255
2002-09-12,1.4253844916673668
2002-09-13,1.4283607509053349
2002-09-16,1.4313390622417643
2002-09-17,1.4343303201460407
2002-09-18,1.4373172176685716
2002-09-19,1.4403302969275091
2002-09-20,1.4433464710407586
2002-09-23,1.4463608824167928
2002-09-24,1.4493854767683783
2002-09-25,1.4523851556921208
2002-09-26,1.455389734645936
2002-09-27,1.4584204869989141
2002-09-30,1.4614637655403564
2002-10-01,1.4644920603194262
2002-10-02,1.4674862853909203
2002-10-03,1.4704646413113913
2002-10-04,1.473438327253268
2002-10-07,1.4764301038481855
2002-10-08,1.479447063688164
2002-10-09,1.482481244659292
2002-10-10,1.485546414476344
2002-10-11,1.488599486773438
